               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.011739,           0.0026765,                   0,             0.98595,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.011989,           0.0027582,                   0,             0.98621,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.011556,           0.0025633,                   0,              0.9862,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.011878,           0.0025018,                   0,             0.98613,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.011376,           0.0025738,                   0,              0.9861,           0.0073171,             0.15459,             0.15459,                 nan,                 nan,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.011256,           0.0024581,                   0,             0.98606,           0.0073171,             0.19199,             0.18573,                 nan,                 nan,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.011209,           0.0025002,                   0,             0.98618,           0.0073171,             0.15459,             0.15459,                 nan,                 nan,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.011156,           0.0023888,                   0,              0.9861,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.010482,            0.002344,                   0,             0.98622,           0.0073171,             0.17122,             0.16565,                 nan,                 nan,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.010483,           0.0024392,                   0,             0.98601,           0.0073171,             0.19199,             0.19199,                 nan,                 nan,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.010987,           0.0024272,                   0,             0.98619,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.011119,           0.0025364,                   0,             0.98612,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,            0.001585,            0.001585,            0.001585
                  87,           0.0098826,           0.0024314,                   0,             0.98635,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.010647,           0.0024607,                   0,             0.98618,           0.0073171,             0.15459,             0.15459,                 nan,                 nan,                   0,            0.001387,            0.001387,            0.001387
